Symbol,Name,Industry,Market Cap
AMRK,A-Mark Precious Metals,Diversified Financial Services,799584768
AMRN,Amarin,Biotechnology,1174344447
AMRS,Amyris,Chemicals,1274681215
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1242348796
AMS,American Shared Hospital Services,Health Care Providers & Services,13789797
AMSC,American Superconductor,Electrical Equipment,236483503
AMSF,AMERISAFE,Insurance,910306293
AMST,Amesite,Software-Application,14663906
AMSWA,American Software,Software,688266355
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.0706E+11
AMTB,Amerant Bancorp,Banks,1083008369
AMTD,AMTD International,Capital Markets,2367965182
AMTI,Applied Molecular Transport,Biotechnology,232693467
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",464098208
AMWD,American Woodmark,Building Products,966563098
AMWL,American Well,Health Information Services,861040063
AMX,America Movil,Wireless Telecommunication Services,60927516663
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,470127292
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.48099E+12
AN,AutoNation,Specialty Retail,6786471417
ANAB,AnaptysBio,Biotechnology,792260783
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,385033888
ANAT,American National Group,Insurance,5080336251
ANDE,The Andersons,Food & Staples Retailing,1492064507
ANEB,Anebulo Pharmaceuticals,Biotechnology,159553337
ANET,Arista Networks,Communications Equipment,36848345038
ANF,Abercrombie & Fitch Company,Specialty Retail,1506893428
ANGH,Anghami,Entertainment,272378330
ANGI,Angi Inc.,Interactive Media & Services,2934518014
ANGN,Angion Biomedica,Biotechnology,55719091
ANGO,AngioDynamics,Health Care Equipment & Supplies,880804925
ANIK,Anika Therapeutics,Biotechnology,369293344
ANIP,ANI Pharmaceuticals,Pharmaceuticals,608279644
ANIX,Anixa Biosciences,Biotechnology,80453238
ANNX,Annexon,Biotechnology,170836734
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,12860760
ANSS,ANSYS,Software,25612472306
ANTE,AirNet Technology,Media,26693100
ANTM,Anthem,Health Care Providers & Services,1.12269E+11
ANVS,Annovis Bio,Biotechnology,108988332
ANY,Sphere 3D,Software,108697639
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517968730
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116012168
AOMR,Angel Oak Mortgage,REIT-Mortgage,378460050
AON,Aon plc,Insurance,63184076794
AORT,Artivion,Medical Devices,786664955
AOS,A. O. Smith,Building Products,10319552480
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1291836889
AOUT,American Outdoor Brands,Leisure Products,202985919
AP,Ampco-Pittsburgh,Metals & Mining,125255327
APA,APA Corporation,"Oil, Gas & Consumable Fuels",13541602292
APAC,Stonebridge Acquisition,Blank Check / SPAC,248250000
APAM,Artisan Partners Asset Management,Capital Markets,2380575464
APCA,AP Acquisition,Blank Check / SPAC,215193740
APCX,AppTech Payments,Software-Infrastructure,23791806
APD,Air Products & Chemicals,Chemicals,48640274363
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",17868474
APEI,American Public Education,Diversified Consumer Services,414836400
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,248834330
APG,APi Group,Construction & Engineering,4739918832
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,840937470
APH,Amphenol,"Electronic Equipment, Instruments & C...",44087975902
API,Agora,"Electronic Equipment, Instruments & C...",957094460
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,4124585721
APLS,Apellis Pharmaceuticals,Biotechnology,4231769576
APLT,Applied Therapeutics,Biotechnology,41682643
APM,Aptorum Group,Biotechnology,46671102
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180937480
APN,Apeiron Capital Investment,Blank Check / SPAC,214978125
APO,Apollo Global Management,Capital Markets,37830000630
APOG,Apogee Enterprises,Building Products,1169424370
APP,AppLovin,Software-Application,16710214638
APPF,AppFolio,Software,4001722285
APPH,AppHarvest,Food Products,518010940
APPN,Appian,Software,3808867023
APPS,Digital Turbine,Software,3381037043
APR,Apria,Medical Instruments & Supplies,1332402661
APRE,Aprea Therapeutics,Biotechnology,37134623
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,155866111
APSG,Apollo Strategic Growth Capital,Shell Companies,1009778939
APT,Alpha Pro Tech,Building Products,52532628
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,349112855
APTO,Aptose Biosciences,Biotechnology,97614079
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1424525937
APTV,Aptiv,Auto Components,28715059189
APTX,Aptinyx,Biotechnology,199761309
APVO,Aptevo Therapeutics,Biotechnology,23784390
APWC,Asia Pacific Wire & Cable,Electrical Equipment,35663962
APXI,APx Acquisition I,Blank Check / SPAC,213900000
APYX,Apyx Medical,Health Care Equipment & Supplies,340003610
AQB,AquaBounty Technologies,Biotechnology,107959054
AQMS,Aqua Metals,Commercial Services & Supplies,95560494
AQN,Algonquin Power & Utilities,Multi-Utilities,10159169528
AQST,Aquestive Therapeutics,Pharmaceuticals,105957759
AQUA,Evoqua Water Technologies,Machinery,5076908542
AR,Antero Resources,"Oil, Gas & Consumable Fuels",8393235956
ARAV,Aravive,Biotechnology,42998097
ARAY,Accuray,Health Care Equipment & Supplies,295819871
ARBE,Arbe Robotics,Software-Infrastructure,364114047
ARBG,Aequi Acquisition,Blank Check / SPAC,282037480
ARBK,Argo Blockchain,Capital Markets,381018748
ARC,ARC Document Solutions,Commercial Services & Supplies,153371005
ARCB,ArcBest,Road & Rail,2066461178
ARCC,Ares Capital,Capital Markets,9683013612
ARCE,Arco Platform,Diversified Consumer Services,1031641074
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2355297924
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,216271864
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1544908542
ARCT,Arcturus Therapeutics Holdings,Biotechnology,485299999
ARDS,Aridis Pharmaceuticals,Biotechnology,22064780
ARDX,Ardelyx,Biotechnology,120730415
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,30138060620
AREC,American Resources,"Oil, Gas & Consumable Fuels",141364894
AREN,Arena Group Holdings,Internet Content & Information,2452267262
ARES,Ares Management,Capital Markets,12692404177
ARGO,Argo Group International Holdings,Insurance,1398218849
ARGU,Argus Capital,Blank Check / SPAC,378652342
ARGX,Argenx SE,Biotechnology,14501515094
ARHS,Arhaus,Home Improvement Retail,1445670526
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1881843963
